participant_number,order,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_cfr_answer,trial_1_response,trial_1_score,trial_2,trial_2_cfr_answer,trial_2_response,trial_2_score,trial_3,trial_3_cfr_answer,trial_3_response,trial_3_score,trial_4,trial_4_cfr_answer,trial_4_response,trial_4_score,trial_1_to_4_total_score,trial_5,trial_5_cfr_answer,trial_5_response,trial_5_score,trial_6,trial_6_cfr_answer,trial_6_response,trial_6_score,trial_7,trial_7_cfr_answer,trial_7_response,trial_7_score,trial_8,trial_8_cfr_answer,trial_8_response,trial_8_score,trial_5_to_8_total_score,notes,exclude,exclude_reason,notes,,
88,2,1/6/24,This_Or_That_20240106_Lookit_SZ_3,183608,f251e054-f206-4994-b70a-cd36af9149d8,1826-2190,2160,5.92,male,en,benji,harry,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_basketball_left_egg_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,3,order2_duck_left_phone_right,phone,phone,1,order2_basketball_left_egg_right,egg,basketball,0,order2_bear_left_vase_right,vase,vase,1,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,3,,,,,,
89,2,1/6/24,This_Or_That_20240106_Lookit_SZ_4,183639,bba6e72d-1396-4560-9166-1418e9d71733,1826-2190,2010,5.51,female,en fr,harry,harry,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_bear_left_vase_right_granny,vase,vase,1,order2_phone_left_duck_right_granny,phone,phone,1,4,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_duck_left_phone_right,phone,ducky,0,order2_egg_left_basketball_right,egg,egg,1,2,,,,,,
90,2,1/6/24,This_Or_That_20240106_Lookit_SZ_5,183696,51b0a951-f775-4d6d-96be-acf83b00f663,1826-2190,1890,5.18,female,en fr,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_basketball_left_egg_right_granny,egg,basketball,0,order2_bear_left_vase_right_granny,vase,vase,1,order2_phone_left_duck_right_granny,phone,phone,1,3,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_bear_left_vase_right,vase,vase,1,order2_basketball_left_egg_right,egg,basketball,0,order2_phone_left_duck_right,phone,phone,1,3,,,,,,
91,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_17,164260,593d083d-2964-427f-9455-53d2dc696c6c,2190-2556,2460,6.74,male,en nl de,benji,harry,order1_bear_left_vase_right,vase,toy_bear,0,order1_basketball_left_egg_right,egg,egg,1,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,3,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_bear_left_vase_right_granny,vase,vase,1,4,,,,174959,,
92,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_19,164270,a00beac1-e0e8-44b0-a2a4-050ce72c1401,2190-2556,2370,6.49,male,en so,benji,harry,order1_vase_left_bear_right,vase,toy_bear,0,order1_basketball_left_egg_right,egg,basketball,0,order1_phone_left_duck_right,phone,phone,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,2,order1_phone_left_duck_right_granny,phone,ducky,0,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_egg_left_basketball_right_granny,egg,egg,1,order1_vase_left_bear_right_granny,vase,vase,1,2,,,,,,
93,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_20,164290,f050d77e-113a-495a-8913-caf604eb277c,2190-2556,2250,6.16,female,en,harry,harry,order1_phone_left_duck_right,phone,ducky,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_egg_left_basketball_right,egg,basketball,0,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_duck_left_phone_right_granny,phone,phone,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_bear_left_vase_right_granny,vase,vase,1,3,,,,,,
94,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_10,164670,82f68db0-d611-4eae-b170-46b7ebd57e9a,2190-2556,2430,6.66,male,en,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_basketball_left_egg_right,egg,basketball,0,order1_phone_left_duck_right,phone,phone,1,order1_bear_left_vase_right,vase,toy_bear,0,2,order1_bear_left_vase_right_granny,vase,vase,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_egg_left_basketball_right_granny,egg,egg,1,4,,,,,,
95,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_1,174872,3759d8fd-de37-4eb7-ad7b-9b03bd9c5850,2190-2556,2310,6.33,female,en,,harry,order1_bear_left_vase_right,vase,vase,1,order1_egg_left_basketball_right,egg,basketball,0,order1_duck_left_phone_right,phone,phone,1,order1_sunscreen_left_icecream_right,ice_cream,both,0,2,order1_basketball_left_egg_right_granny,egg,egg,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order1_vase_left_bear_right_granny,vase,vase,1,3,,,,,,
96,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_7,175018,0e3d1f3a-e054-478c-b4f9-5e25d5263b84,2190-2556,2400,6.58,male,en,benji,harry,order1_phone_left_duck_right,phone,ducky,0,order1_basketball_left_egg_right,egg,basketball,0,order1_bear_left_vase_right,vase,toy_bear,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,1,order1_duck_left_phone_right_granny,phone,ducky,0,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_vase_left_bear_right_granny,vase,toy_bear,0,1,,,,,,
97,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_11,175157,330a7799-175e-48c8-836f-540aac5772bb,2190-2556,2430,6.66,male,en,benji,harry,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,order1_basketball_left_egg_right,egg,egg,1,order1_vase_left_bear_right,vase,toy_bear,0,3,order1_egg_left_basketball_right_granny,egg,egg,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_duck_left_phone_right_granny,phone,phone,1,4,,,,,,
98,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_17,175212,b5a26542-6e41-4e8e-955f-429694d1a0b4,2190-2556,2490,6.82,female,en cjy ta,benji,harry,order1_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order1_duck_left_phone_right,phone,phone,1,order1_egg_left_basketball_right,egg,basketball,0,order1_bear_left_vase_right,vase,toy_bear,0,1,order1_vase_left_bear_right_granny,vase,vase,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_duck_left_phone_right_granny,phone,phone,1,4,,,,,,
99,1,11/29/2023,This_Or_That_20231129_Lookit_SZ_1,175578,56602b2e-4ca9-460b-bdaa-54dd8204a283,2190-2556,2460,6.74,female,en,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_bear_left_vase_right,vase,toy_bear,0,order1_phone_left_duck_right,phone,ducky,0,order1_basketball_left_egg_right,egg,egg,1,2,order1_bear_left_vase_right_granny,vase,vase,1,order1_phone_left_duck_right_granny,phone,ducky,0,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order1_egg_left_basketball_right_granny,egg,egg,1,2,,,,,,
100,1,12/1/2023,This_Or_That_20231201_Lookit_SZ_1,175933,fb621ac7-f911-4372-8052-413f3197ca10,2190-2556,2400,6.58,male,en pl,benji,harry,order1_egg_left_basketball_right,egg,egg,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,phone,1,3,order1_duck_left_phone_right_granny,phone,phone,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_egg_left_basketball_right_granny,egg,egg,1,4,,,,,,
101,1,12/2/2023,This_Or_That_20231202_Lookit_SZ_3,176229,ac12d743-9bf3-4cd2-a3fe-7420ddae74f7,2190-2556,2460,6.74,female,en es,benji,harry,order1_egg_left_basketball_right,egg,egg,1,order1_phone_left_duck_right,phone,phone,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,3,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_phone_left_duck_right_granny,phone,phone,1,order1_vase_left_bear_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,basketball,0,2,,,,,,
102,1,12/2/2023,This_Or_That_20231202_Lookit_SZ_4,176247,f60a0891-f301-4ca5-bc1a-200b6a70b22f,2190-2556,2460,6.74,female,en,benji,harry,order1_vase_left_bear_right,vase,vase,1,order1_phone_left_duck_right,phone,phone,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_basketball_left_egg_right,egg,basketball,0,3,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_duck_left_phone_right_granny,phone,phone,1,3,,,,,,
103,1,12/2/2023,This_Or_That_20231202_Lookit_SZ_6,176251,38104755-d623-4fac-b069-9552aebece1c,2190-2556,2460,6.74,female,en,benji,harry,order1_basketball_left_egg_right,egg,egg,1,order1_phone_left_duck_right,phone,phone,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_vase_left_bear_right,vase,toy_bear,0,3,order1_bear_left_vase_right_granny,vase,vase,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,2,,,,,,
104,1,10/25/2023,This_Or_That_20231025_Lookit_SZ_5,164565,b66a6593-2dee-438f-abba-7bb47751953f,2190-2556,2190,6.00,female,en,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_duck_left_phone_right,phone,phone,1,order1_basketball_left_egg_right,egg,basketball,0,2,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_duck_left_phone_right_granny,phone,phone,1,3,,,,,,
105,1,12/3/2023,This_Or_That_20231203_Lookit_SZ_1,176337,b256842d-562e-4e1a-9e82-42a7e18c1a55,2190-2556,2550,6.99,female,en,benji,harry,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_egg_left_basketball_right,egg,basketball,0,order1_duck_left_phone_right,phone,phone,1,2,order1_egg_left_basketball_right_granny,egg,egg,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_phone_left_duck_right_granny,phone,phone,1,4,,,,,,
106,2,12/27/23,This_Or_That_20231227_Lookit_SZ_6,181850,d1416ed7-201f-47cc-99e0-8ac353a74490,2190-2556,2490,6.82,female,en,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_basketball_left_egg_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_bear_left_vase_right_granny,vase,vase,1,4,order2_phone_left_duck_right,phone,phone,1,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_egg_left_basketball_right,egg,egg,1,order2_bear_left_vase_right,vase,toy_bear,0,3,,,,,,
107,2,12/28/23,This_Or_That_20231228_Lookit_SZ_2,181976,7200d10b-fb5e-41fe-9c39-bfa0ac74c36e,2190-2556,2370,6.49,male,,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_bear_left_vase_right_granny,vase,vase,1,order2_basketball_left_egg_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,phone,1,4,order2_duck_left_phone_right,phone,phone,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_egg_left_basketball_right,egg,basketball,0,2,,,,,,
108,2,12/28/23,This_Or_That_20231228_Lookit_SZ_4,182004,177ae678-4c21-4582-808d-8ff08935da5e,2190-2556,2310,6.33,female,en,benji,harry,order2_vase_left_bear_right_granny,vase,vase,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_duck_left_phone_right_granny,phone,phone,1,4,order2_bear_left_vase_right,vase,toy_bear,0,order2_phone_left_duck_right,phone,phone,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_egg_left_basketball_right,egg,egg,1,3,,,,,,
109,2,12/29/23,This_Or_That_20231229_Lookit_SZ_1,182099,3bf150ee-78e8-46fc-b54e-11eab312780f,2190-2556,2430,6.66,female,en,benji,harry,order2_bear_left_vase_right_granny,vase,vase,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order2_phone_left_duck_right_granny,phone,phone,1,3,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_egg_left_basketball_right,egg,basketball,0,order2_vase_left_bear_right,vase,toy_bear,0,order2_duck_left_phone_right,phone,phone,1,2,,,,,,
110,2,12/29/23,This_Or_That_20231229_Lookit_SZ_4,182169,a661c16a-d24d-4f60-9cd1-075a16591b31,2190-2556,2310,6.33,female,en,benji,harry,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_basketball_left_egg_right_granny,egg,basketball,0,order2_vase_left_bear_right_granny,vase,vase,1,order2_duck_left_phone_right_granny,phone,phone,1,3,order2_duck_left_phone_right,phone,phone,1,order2_basketball_left_egg_right,egg,basketball,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,vase,1,3,,,,,,
111,2,12/29/23,This_Or_That_20231229_Lookit_SZ_6,182258,4e812d69-2578-4522-95be-1a1ac9a307e3,2190-2556,2520,6.90,female,en ml,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_basketball_left_egg_right_granny,egg,basketball,0,2,order2_basketball_left_egg_right,egg,basketball,0,order2_phone_left_duck_right,phone,phone,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,toy_bear,0,2,,,,,,
112,2,12/30/23,This_Or_That_20231230_Lookit_SZ_4,182445,2ba4ea56-eb9b-464e-8827-39efd3547cfb,2190-2556,2520,6.90,male,en,benji,harry,order2_bear_left_vase_right_granny,vase,vase,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,4,order2_basketball_left_egg_right,egg,egg,1,order2_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order2_vase_left_bear_right,vase,toy_bear,0,order2_duck_left_phone_right,phone,ducky,0,1,,,,,,
113,2,12/31/23,This_Or_That_20240101_Lookit_SZ_3,182615,9dae2f9b-6865-4ab1-9310-7f4fe5354545,2190-2556,2340,6.41,male,en,benji,harry,order2_egg_left_basketball_right_granny,egg,egg,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_bear_left_vase_right_granny,vase,vase,1,4,order2_bear_left_vase_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_phone_left_duck_right,phone,phone,1,order2_egg_left_basketball_right,egg,basketball,0,2,,,,,,
114,2,1/1/24,This_Or_That_20240101_Lookit_SZ_9,182699,5056a882-5e9c-4838-bcff-f74154e4bffc,2190-2556,2220,6.08,female,en,benji,harry,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_phone_left_duck_right_granny,phone,phone,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_basketball_left_egg_right_granny,egg,egg,1,3,order2_egg_left_basketball_right,egg,egg,1,order2_bear_left_vase_right,vase,vase,1,order2_phone_left_duck_right,phone,phone,1,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,4,,,,,,
115,2,1/2/24,This_Or_That_20240102_Lookit_SZ_7,182858,d107bd28-614d-4a33-bb4e-4c5da7575291,2190-2556,2190,6.00,male,en,benji,harry,order2_phone_left_duck_right_granny,phone,phone,1,order2_basketball_left_egg_right_granny,egg,basketball,0,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,2,order2_phone_left_duck_right,phone,"ducky, phone",0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_egg_left_basketball_right,egg,basketball,0,1,,,,,,
116,2,1/3/24,This_Or_That_20240103_Lookit_SZ_3,183003,9b103005-0f70-4ad1-9871-33dd8e9bd6a8,2190-2556,2490,6.82,male,en,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_bear_left_vase_right_granny,vase,vase,1,4,order2_duck_left_phone_right,phone,phone,1,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_egg_left_basketball_right,egg,basketball,0,2,,,,,,
117,2,1/3/24,This_Or_That_20240103_Lookit_SZ_4,183027,7a859cea-8875-4b03-ac8a-31560a001fd3,2190-2556,2520,6.90,female,en ml,benji,harry,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_duck_left_phone_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,2,order2_basketball_left_egg_right,egg,basketball,0,order2_phone_left_duck_right,phone,phone,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,toy_bear,0,2,,,,,,
118,2,1/3/24,This_Or_That_20240103_Lookit_SZ_5,183083,2935e5f3-0c62-4212-9ed2-6b035ebb4e71,2190-2556,2370,6.49,male,en ur,benji,harry,order2_vase_left_bear_right_granny,vase,vase,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order2_egg_left_basketball_right_granny,egg,basketball,0,2,order2_duck_left_phone_right,phone,phone,1,order2_bear_left_vase_right,vase,vase,1,order2_basketball_left_egg_right,egg,egg,1,order2_icecream_left_sunscreen_right,ice_cream,sunscreen,0,3,,,,,,
119,2,1/4/24,This_Or_That_20240104_Lookit_SZ_3,183279,33a88dd6-93ff-4926-bcef-01dfcc487fc8,2190-2556,2520,6.90,female,en,benji,harry,order2_vase_left_bear_right_granny,vase,vase,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,2,order2_vase_left_bear_right,vase,toy_bear,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_basketball_left_egg_right,egg,basketball,0,order2_phone_left_duck_right,phone,phone,1,2,,,,,,
120,2,1/5/24,This_Or_That_20240105_Lookit_SZ_2,183402,7f2737a3-357f-4994-a6fa-baf7c948ef73,2190-2556,2340,6.41,male,en so,benji,harry,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_duck_left_phone_right_granny,phone,ducky,0,order2_basketball_left_egg_right_granny,egg,egg,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,2,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_basketball_left_egg_right,egg,basketball,0,order2_phone_left_duck_right,phone,ducky,0,1,,,,,,
